Timestamp,clones,unique_cloner,views,unique_viewer
2023-03-14 00:00:00,30,13,38,15
2023-03-15 00:00:00,4,2,36,7
2023-03-16 00:00:00,32,2,48,12
2023-03-17 00:00:00,135,9,345,14
2023-03-18 00:00:00,40,6,47,4
2023-03-19 00:00:00,32,1,66,5
2023-03-20 00:00:00,75,2,110,14
2023-03-21 00:00:00,67,8,96,9
2023-03-22 00:00:00,1,1,41,7
2023-03-23 00:00:00,1,1,46,14
2023-03-24 00:00:00,5,4,8,4
2023-03-25 00:00:00,0,0,3,3
2023-03-26 00:00:00,1,1,9,1
2023-03-27 00:00:00,146,10,149,5
2023-03-28 00:00:00,34,3,165,7
2023-03-29 00:00:00,199,3,178,8
2023-03-30 00:00:00,6,6,54,9
2023-03-31 00:00:00,1,1,45,6
2023-04-01 00:00:00,1,1,3,3
2023-04-02 00:00:00,0,0,5,3
2023-04-03 00:00:00,2,2,35,10
2023-04-04 00:00:00,91,2,117,6
2023-04-05 00:00:00,22,6,129,12
2023-04-06 00:00:00,36,3,78,12
2023-04-07 00:00:00,36,4,77,10
2023-04-08 00:00:00,1,1,23,5
2023-04-09 00:00:00,2,2,3,3
2023-04-10 00:00:00,1,1,26,6
2023-04-11 00:00:00,66,5,63,16
2023-04-12 00:00:00,122,12,180,16
2023-04-13 00:00:00,15,1,37,10
2023-04-14 00:00:00,52,5,29,5
2023-04-15 00:00:00,0,0,8,2
2023-04-16 00:00:00,2,2,5,2
2023-04-17 00:00:00,3,2,27,4
2023-04-18 00:00:00,1,1,8,3
2023-04-19 00:00:00,3,2,21,8
2023-04-20 00:00:00,35,4,50,11
2023-04-21 00:00:00,16,1,31,10
2023-04-22 00:00:00,0,0,2,2
2023-04-23 00:00:00,1,1,3,3
2023-04-24 00:00:00,2,1,8,4
2023-04-25 00:00:00,2,2,5,2
2023-04-26 00:00:00,21,6,36,8
2023-04-27 00:00:00,12,1,39,8
2023-04-28 00:00:00,1,1,10,5
2023-04-28 00:00:00,1,1,10,5
2023-04-30 00:00:00,0,0,1,1
2023-05-01 00:00:00,6,4,58,7
2023-05-02 00:00:00,0,0,47,7
2023-05-03 00:00:00,49,3,42,6
2023-05-04 00:00:00,1,1,42,4
2023-05-05 00:00:00,1,1,6,4
2023-05-06 00:00:00,2,1,2,2
2023-05-06 00:00:00,2,1,2,2
2023-05-08 00:00:00,0,0,15,5
2023-05-09 00:00:00,31,1,90,8
2023-05-10 00:00:00,232,3,480,8
2023-05-11 00:00:00,138,6,175,6
2023-05-12 00:00:00,61,9,98,10
2023-05-13 00:00:00,4,4,2,2
2023-05-13 00:00:00,4,4,2,2
2023-05-15 00:00:00,4,3,85,7
2023-05-16 00:00:00,2,2,29,7
2023-05-17 00:00:00,2,2,29,7
2023-05-18 00:00:00,0,0,56,7
2023-05-19 00:00:00,4,4,15,2
2023-05-20 00:00:00,4,2,6,1
2023-05-21 00:00:00,4,2,3,2
2023-05-22 00:00:00,0,0,15,3
2023-05-23 00:00:00,183,8,212,9
2023-05-24 00:00:00,0,0,41,10
2023-05-25 00:00:00,1,1,5,2
2023-05-26 00:00:00,16,1,23,3
2023-05-27 00:00:00,2,2,17,10
2023-05-28 00:00:00,0,0,1,1
2023-05-29 00:00:00,5,4,4,3
2023-05-30 00:00:00,16,1,44,4
2023-05-31 00:00:00,20,4,77,6
2023-06-01 00:00:00,1,1,53,10
2023-06-02 00:00:00,2,2,13,3
2023-06-03 00:00:00,0,0,18,2
2023-06-03 00:00:00,0,0,18,2
2023-06-05 00:00:00,3,3,26,4
2023-06-06 00:00:00,1,1,11,6
2023-06-07 00:00:00,16,1,40,14
2023-06-08 00:00:00,68,3,162,13
2023-06-09 00:00:00,42,4,66,8
2023-06-10 00:00:00,3,1,16,5
2023-06-11 00:00:00,0,0,8,6
2023-06-12 00:00:00,16,3,57,5
2023-06-13 00:00:00,1,1,105,14
2023-06-14 00:00:00,93,4,186,11
2023-06-15 00:00:00,89,9,131,5
2023-06-16 00:00:00,39,6,70,6
2023-06-17 00:00:00,3,2,8,4
2023-06-18 00:00:00,1,1,27,3
2023-06-19 00:00:00,138,6,224,9
2023-06-20 00:00:00,114,7,148,6
2023-06-21 00:00:00,4,3,20,5
2023-06-22 00:00:00,21,6,127,6
2023-06-23 00:00:00,1,1,36,12
2023-06-24 00:00:00,1,1,17,2
2023-06-24 00:00:00,1,1,17,2
2023-06-26 00:00:00,66,8,27,10
2023-06-27 00:00:00,2,2,9,4
2023-06-28 00:00:00,1,1,78,5
2023-06-29 00:00:00,49,3,100,13
2023-06-30 00:00:00,1,1,44,7
